Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Yes,601.0,396.0,203.0,1.0,20.0,525.0,323.0,11230.0,6643.0,2340.0,620.0,8.0,58.0,6.8,4.0,13025.0,47.0
Yes,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,3660.0,650.0,600.0,76.0,90.0,13.5,29.0,8444.0,67.0
No,4158.0,2532.0,902.0,6.0,24.0,6394.0,3881.0,5962.0,4444.0,500.0,985.0,69.0,73.0,16.7,4.0,4900.0,49.0
No,4681.0,4101.0,1436.0,10.0,35.0,8094.0,1596.0,4620.0,3288.0,300.0,2250.0,69.0,80.0,19.7,4.0,5501.0,50.0
No,2785.0,2011.0,1007.0,8.0,65.0,6507.0,898.0,7242.0,3603.0,654.0,1416.0,67.0,89.0,18.1,0.0,6413.0,51.0
Yes,174.0,146.0,88.0,8.0,29.0,1047.0,33.0,8300.0,3080.0,600.0,600.0,62.0,62.0,15.2,18.0,3365.0,58.0
Yes,1013.0,888.0,288.0,55.0,82.0,943.0,7.0,11850.0,4270.0,600.0,900.0,95.0,99.0,11.4,60.0,13118.0,74.0
Yes,959.0,771.0,351.0,23.0,48.0,1662.0,209.0,16624.0,5895.0,600.0,1100.0,72.0,80.0,12.8,6.0,12692.0,47.0
Yes,212.0,197.0,91.0,28.0,56.0,471.0,148.0,13500.0,5230.0,400.0,850.0,95.0,98.0,9.3,37.0,16095.0,52.0
Yes,342.0,254.0,126.0,25.0,64.0,518.0,232.0,10335.0,5015.0,700.0,850.0,71.0,71.0,8.3,29.0,7729.0,73.0
Yes,81.0,72.0,51.0,33.0,71.0,139.0,3.0,8730.0,3600.0,400.0,800.0,92.0,92.0,9.3,17.0,10922.0,58.0
Yes,880.0,520.0,224.0,16.0,42.0,1068.0,364.0,9300.0,3260.0,600.0,900.0,81.0,81.0,11.1,24.0,8129.0,63.0
No,883.0,766.0,428.0,3.0,37.0,2910.0,1749.0,7860.0,4750.0,525.0,1889.0,80.0,82.0,21.2,16.0,4639.0,48.0
Yes,1196.0,697.0,499.0,21.0,47.0,959.0,13.0,4412.0,2460.0,500.0,1e3,69.0,69.0,16.9,31.0,7083.0,21.0
Yes,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17e3,6010.0,500.0,850.0,99.0,99.0,9.6,52.0,18443.0,87.0
Yes,2887.0,2059.0,457.0,30.0,61.0,1928.0,296.0,17500.0,4200.0,500.0,950.0,94.0,95.0,10.5,35.0,11951.0,79.0
Yes,460.0,340.0,167.0,14.0,45.0,604.0,350.0,10740.0,3676.0,350.0,900.0,67.0,71.0,11.0,27.0,7963.0,74.0
Yes,2174.0,1953.0,557.0,35.0,68.0,2332.0,53.0,15960.0,5580.0,700.0,1300.0,95.0,95.0,15.8,32.0,11659.0,77.0
No,8065.0,5257.0,2301.0,37.0,65.0,11755.0,770.0,8116.0,3610.0,800.0,1618.0,82.0,88.0,18.0,17.0,7597.0,73.0
No,689.0,561.0,250.0,15.0,30.0,1125.0,422.0,7168.0,3689.0,600.0,1900.0,67.0,67.0,18.1,9.0,4417.0,46.0
Yes,1006.0,742.0,275.0,29.0,60.0,1127.0,205.0,13925.0,4390.0,500.0,2200.0,73.0,86.0,12.7,32.0,10141.0,67.0
Yes,604.0,452.0,295.0,15.0,47.0,690.0,222.0,9888.0,4502.0,400.0,1e3,64.0,77.0,12.1,39.0,8741.0,75.0
Yes,2848.0,1319.0,456.0,58.0,84.0,1720.0,35.0,18930.0,5590.0,500.0,1e3,83.0,94.0,10.2,41.0,15954.0,91.0
Yes,4856.0,2492.0,727.0,46.0,75.0,2649.0,25.0,19510.0,5565.0,500.0,750.0,95.0,98.0,10.5,45.0,15494.0,93.0
Yes,1432.0,888.0,317.0,29.0,58.0,1121.0,493.0,10860.0,5760.0,550.0,900.0,56.0,62.0,12.9,23.0,8604.0,96.0
No,4772.0,3140.0,1265.0,22.0,55.0,6851.0,1200.0,6120.0,3460.0,666.0,2316.0,73.0,78.0,17.2,18.0,4776.0,51.0
Yes,798.0,620.0,238.0,14.0,41.0,1165.0,1232.0,9800.0,4430.0,400.0,1150.0,46.0,46.0,11.1,35.0,6889.0,100.0
Yes,946.0,648.0,177.0,23.0,46.0,707.0,432.0,11790.0,5770.0,500.0,1e3,75.0,77.0,11.9,35.0,10015.0,83.0
Yes,344.0,264.0,97.0,11.0,42.0,500.0,331.0,12600.0,5520.0,630.0,2250.0,77.0,80.0,10.4,7.0,9773.0,43.0
Yes,457.0,356.0,177.0,35.0,61.0,667.0,1983.0,11180.0,5620.0,600.0,700.0,64.0,64.0,11.5,32.0,7477.0,75.0
Yes,938.0,864.0,511.0,29.0,62.0,1715.0,103.0,12247.0,4221.0,500.0,600.0,70.0,88.0,13.1,26.0,8847.0,72.0
Yes,511.0,411.0,186.0,23.0,51.0,1692.0,562.0,12224.0,4440.0,450.0,1e3,63.0,87.0,11.5,32.0,7315.0,77.0
Yes,444.0,359.0,122.0,34.0,53.0,493.0,968.0,10900.0,5250.0,380.0,1e3,68.0,70.0,11.4,23.0,9447.0,78.0
Yes,983.0,664.0,249.0,23.0,57.0,1698.0,894.0,9990.0,5666.0,800.0,1500.0,66.0,71.0,14.3,28.0,6084.0,64.0
Yes,546.0,447.0,189.0,16.0,42.0,873.0,683.0,11138.0,4138.0,600.0,1200.0,40.0,74.0,14.0,7.0,8820.0,80.0
Yes,141.0,118.0,55.0,12.0,21.0,201.0,173.0,8300.0,4850.0,450.0,1300.0,53.0,53.0,9.5,19.0,6936.0,76.0
Yes,672.0,596.0,278.0,29.0,60.0,1350.0,275.0,11844.0,3696.0,450.0,1146.0,54.0,76.0,11.6,33.0,8996.0,72.0
Yes,2994.0,1691.0,659.0,70.0,95.0,2675.0,22.0,18e3,6300.0,400.0,900.0,92.0,96.0,11.3,55.0,12138.0,95.0
No,7117.0,3106.0,1217.0,68.0,88.0,5186.0,134.0,11720.0,4298.0,600.0,800.0,89.0,92.0,12.1,31.0,9534.0,93.0
Yes,2100.0,1883.0,553.0,29.0,65.0,1704.0,1.0,16240.0,4690.0,500.0,500.0,84.0,96.0,11.1,43.0,14140.0,69.0
Yes,3207.0,1577.0,490.0,56.0,87.0,1892.0,7.0,17142.0,4190.0,450.0,1200.0,85.0,97.0,11.3,51.0,14664.0,84.0
No,9478.0,6312.0,2194.0,29.0,65.0,15646.0,1829.0,8412.0,4180.0,470.0,1800.0,87.0,89.0,19.2,10.0,7850.0,59.0
Yes,314.0,158.0,132.0,10.0,28.0,690.0,5346.0,8294.0,3700.0,400.0,900.0,87.0,87.0,15.3,2.0,5015.0,37.0
Yes,737.0,614.0,242.0,21.0,67.0,968.0,237.0,10425.0,3975.0,500.0,1500.0,61.0,77.0,14.7,34.0,8693.0,76.0
Yes,6756.0,1930.0,871.0,78.0,96.0,3376.0,55.0,18624.0,6664.0,550.0,300.0,97.0,98.0,5.9,21.0,30639.0,99.0
Yes,281.0,266.0,139.0,13.0,29.0,1049.0,181.0,10500.0,3750.0,450.0,950.0,69.0,75.0,12.8,18.0,6955.0,45.0
Yes,232.0,216.0,106.0,16.0,34.0,534.0,172.0,6900.0,3800.0,450.0,1825.0,67.0,76.0,12.1,9.0,6875.0,42.0
Yes,688.0,497.0,144.0,30.0,75.0,641.0,101.0,10800.0,4440.0,570.0,1515.0,55.0,60.0,13.1,13.0,8415.0,55.0
Yes,528.0,403.0,186.0,22.0,56.0,1168.0,145.0,9216.0,4191.0,400.0,1e3,56.0,64.0,12.1,13.0,7309.0,75.0
Yes,3035.0,1546.0,438.0,42.0,93.0,1630.0,232.0,18740.0,6300.0,600.0,500.0,86.0,95.0,10.7,40.0,14773.0,91.0
Yes,440.0,407.0,149.0,35.0,70.0,643.0,80.0,12050.0,3700.0,500.0,900.0,63.0,76.0,10.2,31.0,10965.0,75.0
Yes,1538.0,1329.0,383.0,33.0,68.0,1140.0,10.0,15248.0,4323.0,550.0,800.0,71.0,76.0,12.2,31.0,10340.0,64.0
Yes,2967.0,2836.0,876.0,30.0,60.0,3450.0,644.0,10628.0,4372.0,650.0,2055.0,85.0,90.0,6.5,32.0,22906.0,85.0
Yes,1576.0,1110.0,274.0,24.0,55.0,992.0,112.0,8e3,3700.0,400.0,500.0,51.0,52.0,14.1,28.0,5807.0,51.0
Yes,995.0,789.0,398.0,26.0,47.0,1306.0,122.0,6230.0,3526.0,400.0,600.0,42.0,44.0,13.0,4.0,8189.0,63.0
Yes,866.0,619.0,157.0,18.0,47.0,1074.0,336.0,8920.0,4310.0,680.0,1320.0,68.0,68.0,14.6,42.0,6898.0,46.0
Yes,504.0,482.0,185.0,10.0,36.0,550.0,84.0,9130.0,3322.0,450.0,1450.0,46.0,51.0,12.6,25.0,8686.0,54.0
Yes,585.0,508.0,153.0,12.0,30.0,460.0,536.0,12292.0,4934.0,500.0,500.0,61.0,61.0,22.2,10.0,8643.0,72.0
Yes,8587.0,2273.0,1087.0,87.0,99.0,3918.0,32.0,19545.0,6070.0,550.0,1100.0,95.0,99.0,4.7,49.0,29619.0,98.0
Yes,2373.0,956.0,452.0,77.0,96.0,1601.0,6.0,17295.0,5070.0,600.0,1011.0,95.0,97.0,12.0,46.0,17581.0,94.0
Yes,571.0,461.0,174.0,10.0,26.0,645.0,283.0,10850.0,3670.0,400.0,1159.0,58.0,60.0,12.8,19.0,7505.0,56.0
No,967.0,945.0,459.0,15.0,48.0,2806.0,538.0,4528.0,1880.0,500.0,1200.0,49.0,63.0,17.1,16.0,5113.0,58.0
Yes,2762.0,2279.0,533.0,32.0,60.0,1835.0,14.0,16900.0,4720.0,500.0,600.0,88.0,97.0,11.6,45.0,12423.0,81.0
Yes,1994.0,1656.0,495.0,50.0,80.0,1983.0,36.0,14300.0,5020.0,550.0,950.0,78.0,94.0,11.1,31.0,11525.0,82.0
Yes,3014.0,2539.0,487.0,31.0,68.0,1889.0,62.0,18700.0,5e3,595.0,1250.0,87.0,94.0,11.2,39.0,13861.0,87.0
No,434.0,412.0,319.0,10.0,30.0,1376.0,237.0,4486.0,2146.0,600.0,2e3,50.0,64.0,16.5,28.0,4525.0,46.0
Yes,1998.0,1376.0,651.0,41.0,88.0,1539.0,45.0,6700.0,3650.0,500.0,2307.0,52.0,52.0,14.1,12.0,7566.0,61.0
Yes,793.0,709.0,244.0,20.0,47.0,1022.0,411.0,9570.0,3e3,400.0,1e3,67.0,72.0,15.1,42.0,6852.0,60.0
Yes,360.0,329.0,108.0,4.0,19.0,756.0,863.0,8310.0,5500.0,600.0,1800.0,43.0,43.0,12.7,5.0,5480.0,54.0
Yes,604.0,562.0,328.0,25.0,50.0,1048.0,56.0,9800.0,2650.0,450.0,2800.0,61.0,60.0,12.5,17.0,7325.0,87.0
Yes,1011.0,829.0,410.0,9.0,33.0,1059.0,2458.0,9e3,3100.0,450.0,1413.0,77.0,78.0,12.4,7.0,11178.0,42.0
Yes,2799.0,2573.0,839.0,34.0,65.0,3322.0,726.0,13420.0,4770.0,560.0,1675.0,88.0,93.0,15.0,24.0,9473.0,77.0
Yes,2153.0,1580.0,321.0,56.0,84.0,1192.0,87.0,18432.0,5616.0,520.0,660.0,93.0,97.0,10.2,28.0,14907.0,83.0
Yes,700.0,650.0,314.0,33.0,66.0,1065.0,48.0,8730.0,3523.0,500.0,750.0,82.0,92.0,13.2,35.0,9303.0,67.0
Yes,13789.0,3893.0,1583.0,90.0,98.0,6188.0,53.0,18590.0,5950.0,625.0,1162.0,95.0,96.0,5.0,44.0,27206.0,97.0
Yes,1358.0,1006.0,274.0,35.0,63.0,1028.0,13.0,15036.0,4056.0,600.0,600.0,90.0,94.0,10.6,46.0,14634.0,78.0
No,9274.0,6362.0,2435.0,14.0,44.0,13171.0,1687.0,7248.0,3240.0,500.0,1700.0,74.0,78.0,13.2,18.0,9002.0,58.0
No,3330.0,2730.0,1303.0,15.0,36.0,6706.0,2640.0,5800.0,3e3,600.0,2200.0,73.0,75.0,14.0,9.0,9825.0,42.0
